,index,shared,sample1,species_id
0,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,5984,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,102327
1,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,3779,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,102327
2,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,1068,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,102327
3,A_C2_C3_ACPP_AE_mBHI_mBHI_2_S26,206,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,102327
4,A_C4_C5_AF_AE_mBHI_mBHI_2_S28,5152,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,102327
5,A_C10_C3_ACPP_AE_mBHI_mBHI_4_S34,511,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,102327
6,A_C12_C5_AF_AE_mBHI_mBHI_4_S36,4323,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,102327
7,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,4331,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,102327
8,A_D2_D3_ACPP_AF_mBHI_mBHI_2_S38,1401,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,102327
9,A_D3_D4_AE_AF_mBHI_mBHI_2_S39,4445,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,102327
10,A_D4_D5_AF_AF_mBHI_mBHI_2_S40,4937,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,102327
11,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,4087,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,102327
12,A_D11_D4_AE_AF_mBHI_mBHI_4_S47,4415,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,102327
13,A_D12_D5_AF_AF_mBHI_mBHI_4_S48,4779,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,102327
14,A_E9_A2_AA_AA_mBHI_mGAM_4_S57,555,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,102327
15,A_G9_C2_AA_AE_mBHI_mGAM_4_S81,550,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,102327
16,A_H1_D2_AA_AF_mBHI_mGAM_2_S85,2215,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,102327
17,B_A4_E5_AF_AA_mBHI_mBHI_2_S100,2578,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,102327
