,index,shared,sample1,species_id,num_sites
0,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,2018,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,102640,2018
1,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,545,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,102640,2018
2,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,1263,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,102640,2018
3,D_A4_A5_AF_AA_mBHI_mBHI_6_S292,891,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,102640,2018
4,A5-e003Coalescence-mBHI-p7,854,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,102640,2018
5,D2-e003Coalescence-mBHI-p3,950,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,102640,2018
6,Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,1456,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,102640,2018
7,C_D2_e003Assembly_S230,584,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,102640,2018
0,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,545,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,102640,2086
1,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,2086,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,102640,2086
2,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,930,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,102640,2086
3,D_A4_A5_AF_AA_mBHI_mBHI_6_S292,467,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,102640,2086
4,A5-e003Coalescence-mBHI-p7,434,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,102640,2086
5,D2-e003Coalescence-mBHI-p3,1139,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,102640,2086
6,Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,397,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,102640,2086
7,C_D2_e003Assembly_S230,529,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,102640,2086
0,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,1263,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,102640,2024
1,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,930,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,102640,2024
2,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,2024,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,102640,2024
3,D_A4_A5_AF_AA_mBHI_mBHI_6_S292,640,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,102640,2024
4,A5-e003Coalescence-mBHI-p7,701,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,102640,2024
5,D2-e003Coalescence-mBHI-p3,1394,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,102640,2024
6,Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,976,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,102640,2024
7,C_D2_e003Assembly_S230,539,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,102640,2024
0,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,891,D_A4_A5_AF_AA_mBHI_mBHI_6_S292,102640,1373
1,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,467,D_A4_A5_AF_AA_mBHI_mBHI_6_S292,102640,1373
2,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,640,D_A4_A5_AF_AA_mBHI_mBHI_6_S292,102640,1373
3,D_A4_A5_AF_AA_mBHI_mBHI_6_S292,1373,D_A4_A5_AF_AA_mBHI_mBHI_6_S292,102640,1373
4,A5-e003Coalescence-mBHI-p7,712,D_A4_A5_AF_AA_mBHI_mBHI_6_S292,102640,1373
5,D2-e003Coalescence-mBHI-p3,478,D_A4_A5_AF_AA_mBHI_mBHI_6_S292,102640,1373
6,Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,885,D_A4_A5_AF_AA_mBHI_mBHI_6_S292,102640,1373
7,C_D2_e003Assembly_S230,721,D_A4_A5_AF_AA_mBHI_mBHI_6_S292,102640,1373
0,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,854,A5-e003Coalescence-mBHI-p7,102640,1357
1,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,434,A5-e003Coalescence-mBHI-p7,102640,1357
2,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,701,A5-e003Coalescence-mBHI-p7,102640,1357
3,D_A4_A5_AF_AA_mBHI_mBHI_6_S292,712,A5-e003Coalescence-mBHI-p7,102640,1357
4,A5-e003Coalescence-mBHI-p7,1357,A5-e003Coalescence-mBHI-p7,102640,1357
5,D2-e003Coalescence-mBHI-p3,630,A5-e003Coalescence-mBHI-p7,102640,1357
6,Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,822,A5-e003Coalescence-mBHI-p7,102640,1357
7,C_D2_e003Assembly_S230,524,A5-e003Coalescence-mBHI-p7,102640,1357
0,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,950,D2-e003Coalescence-mBHI-p3,102640,2354
1,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,1139,D2-e003Coalescence-mBHI-p3,102640,2354
2,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,1394,D2-e003Coalescence-mBHI-p3,102640,2354
3,D_A4_A5_AF_AA_mBHI_mBHI_6_S292,478,D2-e003Coalescence-mBHI-p3,102640,2354
4,A5-e003Coalescence-mBHI-p7,630,D2-e003Coalescence-mBHI-p3,102640,2354
5,D2-e003Coalescence-mBHI-p3,2354,D2-e003Coalescence-mBHI-p3,102640,2354
6,Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,699,D2-e003Coalescence-mBHI-p3,102640,2354
7,C_D2_e003Assembly_S230,512,D2-e003Coalescence-mBHI-p3,102640,2354
0,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,1456,Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,102640,1837
1,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,397,Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,102640,1837
2,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,976,Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,102640,1837
3,D_A4_A5_AF_AA_mBHI_mBHI_6_S292,885,Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,102640,1837
4,A5-e003Coalescence-mBHI-p7,822,Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,102640,1837
5,D2-e003Coalescence-mBHI-p3,699,Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,102640,1837
6,Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,1837,Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,102640,1837
7,C_D2_e003Assembly_S230,505,Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,102640,1837
0,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,584,C_D2_e003Assembly_S230,102640,2585
