,sample,diversity
0,C9-e003Coalescence-mGAM-p3,0.00014099925608792487
1,C9-e003Coalescence-mGAM-p7,0.0001348757120313631
2,B2-e003Coalescence-mBHI-p3,0.00021993414543302462
3,A4-e003Coalescence-mBHI-p7,0.00022853238218155868
4,B4-e003Coalescence-mBHI-p5,0.00015240344735473167
5,B9-e003Coalescence-mGAM-p5,0.00014206531523058098
6,A4-e003Coalescence-mBHI-inoculumn-redo,0.00023479609587221607
7,B3-e003Coalescence-mBHI-p3,0.004785899309726061
8,D4-e003Coalescence-mBHI-p5,0.00014461977709347013
9,C2-e003Coalescence-mBHI-p5,0.00021099157463183685
10,D4-e003Coalescence-mBHI-p3,0.00014653807996936738
11,B2-e003Assembly-mBHI-p5,0.00022701787937783342
12,B2-e003Coalescence-mBHI-p5,0.00022322284565628374
13,B12-e003Coalescence-mBHI-p3,0.00013199384028745326
14,D4-e004Assembly-mGAM-p5,0.00030056293960409455
15,D3-e003Coalescence-Inoculumn-mBHI,0.00013531412247107168
16,C3-e003Coalescence-mBHI-p7,0.00014545626090921957
17,B8-e003Coalescence-mBHI-p5,0.00014035458058402102
18,C2-e003Coalescence-mGAM-p7,0.00021754575187533026
19,D3-e003Coalescence-mBHI-p5,0.00014919956676035578
20,B11-e003Coalescence-mGAM-p3,0.00013717166640525344
21,B5-e003Assembly-mBHI-p5,0.00014138901469319147
22,D2-e003Coalescence-mBHI-p5,0.0002232878362951808
23,D5-e003Coalescence-mGAM-p5,0.0001437876705442532
24,B5-e003Coalescence-mBHI-p5,0.00014671543638249392
25,D5-e003Coalescence-mBHI-p7,0.00014966432832626145
26,C9-e003Coalescence-mBHI-p5,0.00014161185763287914
27,A5-e003Coalescence-mGAM-p3,0.003178722878103734
28,C2-e003Coalescence-mBHI-p3,0.0002151371900107683
29,C4-e004Assembly-mBHI-p5,0.0002424991336458344
30,D9-e003Coalescence-mGAM-p7,0.00013944413519333817
31,D4-e003Coalescence-mBHI-p7,0.00015859201892719555
32,E4-e004Assembly-mGAM-p7,0.00011994272734769147
33,B10-e003Coalescence-mGAM-p3,0.00014374350767848621
34,A9-e003Coalescence-mGAM-p7,0.00014631458874626968
35,B5-e003Coalescence-Inoculumn-mGAM,0.00014190852836333106
36,D5-e003Coalescence-mBHI-p3,0.0001349190064339501
37,C5-e003Coalescence-mBHI-p3,0.0001432421713940328
38,D9-e003Coalescence-mGAM-p5,0.0001468630446054457
39,C9-e003Coalescence-mBHI-p3,0.0001360195508432088
40,B4-e003Coalescence-mGAM-p5,0.000147723098388077
41,D4-e003Coalescence-mGAM-p5,0.00014032165090106146
42,B5-e003Coalescence-mGAM-p5,0.0001407179882055811
43,B5-e003Coalescence-Inoculumn-mBHI,0.0001313021510448101
44,C2-e003Coalescence-mGAM-p3,0.00024085178004339908
45,B5-e003Coalescence-mGAM-p7,0.0001415225467319243
46,B10-e003Coalescence-mBHI-p5,0.00014106139992480472
47,B5-e003Coalescence-mBHI-p3,0.00013704354390111297
48,C5-e003Coalescence-mGAM-p7,0.00014267787268415277
49,C5-e003Coalescence-mBHI-inoculumn-redo,0.00013814272164746987
50,A2-e003Coalescence-mBHI-p7,0.0002243646245670106
51,D2-e003Coalescence-mBHI-p7,0.0010274465174834953
52,A4-e003Coalescence-mGAM-p5,0.00015131898776631154
53,D5-e003Coalescence-mBHI-p5,0.00021967045998651087
54,D4-e003Coalescence-mGAM-p7,0.00013768547333613596
55,B9-e003GlycerolRevival-mGAM-p2,0.00013465101139455656
56,B2-e003Coalescence-Inoculumn-mGAM,0.00013997038521323382
57,D5-e003Coalescence-mGAM-p7,0.00020944827590230493
58,C5-e003Coalescence-mBHI-p5,0.00015514380702592707
59,C5-e003Coalescence-mGAM-p3,0.00014446301915343546
60,A3-e003Coalescence-mBHI-inoculumn-redo,0.0002452981599133747
61,B12-e003Coalescence-mGAM-p3,0.0001483295442560653
62,A3-e003Coalescence-Inoculumn-mGAM,0.00016765399419905737
63,A9-e003Coalescence-mBHI-p3,0.00014302765425672735
64,A2-e003Coalescence-Inoculumn-mBHI,0.00021571185485804898
65,D3-e003Coalescence-mBHI-p7,0.0001423916964816869
66,C3-e003Coalescence-mBHI-p5,0.00013169589568340083
67,D2-e003Assembly-mBHI-p3,0.00023364740826468865
68,A9-e003Coalescence-mBHI-p5,0.00014830210937280566
69,D5-e003Coalescence-Inoculumn-mBHI,0.00013155971349217951
70,B2-e003Coalescence-mGAM-p3,0.00021643583994283345
71,A8-e003Coalescence-mBHI-p5,0.0008319197899672635
72,C2-e003Assembly-mBHI-p5,0.0002310412546574641
73,D9-e003Coalescence-mBHI-p3,0.0001395378932591382
74,D5-e003Assembly-mBHI-p5,0.0001277745943578792
75,A5-e003Coalescence-mBHI-p7,0.00022056096767981862
76,D2-e003Coalescence-mGAM-p5,0.00023138504466130302
77,D3-e003Coalescence-mGAM-p3,0.00013537470144541985
78,D9-e003Coalescence-mGAM-p3,0.00013944734990994963
79,D3-e003Coalescence-mGAM-p5,0.00014909386243344724
80,A5-e003Coalescence-mBHI-inoculumn-redo,0.010694215159983752
81,D2-e003Assembly-mBHI-p5,0.00023212547843640276
82,B9-e003Coalescence-mGAM-p7,0.0001520914254670638
83,B11-e003Coalescence-mGAM-p7,0.00014271859825613605
84,C3-e003Coalescence-Inoculumn-mGAM,0.00014900917365946774
85,B5-e003Coalescence-mBHI-p7,0.00015685929326424755
86,A3-e003Coalescence-mGAM-p7,0.0002237670350524479
87,D4-e003Coalescence-Inoculumn-mBHI,0.00014097393330191844
88,A4-e003Coalescence-mBHI-p5,0.00021872566533828042
89,C2-e004Assembly-mBHI-p7,4.2409445525950754e-05
90,B9-e003Coalescence-mBHI-p5,0.00014035804776552796
91,B10-e003Coalescence-mBHI-p3,0.00013690325953703036
92,A2-e003Coalescence-mGAM-p7,0.00022042360673188736
93,C5-e003Assembly-mBHI-p3,0.00013991000627338416
94,B10-e003Coalescence-mGAM-p7,0.00016136372804757276
95,C4-e004Assembly-mBHI-p3,0.00017850825257383052
96,A9-e003Coalescence-mBHI-p7,0.0001391007027389938
97,B3-e003Coalescence-Inoculumn-mGAM,0.00014021620324929934
98,D5-e003Coalescence-mGAM-p3,0.00015664239836415752
99,E4-e004Assembly-mGAM-p5,0.00021851634684371348
100,D2-e003Coalescence-Inoculumn-mBHI,0.01696133021990711
101,B4-e003Coalescence-Inoculumn-mGAM,0.00013747059734918376
102,B2-e003Assembly-mBHI-p3,0.00022935433560984447
103,D9-e003Coalescence-mBHI-p5,0.00013704523728484179
104,D4-e003Coalescence-mGAM-p3,0.00013691274113335693
105,B9-e003Coalescence-mBHI-p7,0.00014491068615209892
106,A2-e003Coalescence-mGAM-p5,0.0002191995886851697
107,D11-e003Assembly-mGAM-p5,0.00016324278478938668
108,D9-e003Coalescence-mBHI-p7,0.00014248018740071263
109,C5-e003Coalescence-mBHI-p7,0.00014467837883355318
110,D4-e004Assembly-mGAM-p7,0.0003240177577346552
111,C9-e003Coalescence-mBHI-p7,0.0001409021555222979
112,A2-e003Coalescence-mBHI-p3,0.00021759470809669908
113,B8-e003Coalescence-mGAM-p5,0.0001442776238317442
114,C11-e003Assembly-mGAM-p5,0.00015157195155251333
115,B3-e003Coalescence-mBHI-p5,0.00037066478224389616
116,C2-e003Coalescence-mBHI-inoculumn-redo,0.00022612777650561026
117,C11-e003GlycerolRevival-mGAM-p2,0.0001404409388762213
118,B2-e003Coalescence-Inoculumn-mBHI,0.00021380354787446513
119,A3-e003Coalescence-mBHI-p3,0.00022378880746893714
120,A2-e003Coalescence-mBHI-p5,0.0002175014648350633
121,C5-e003Assembly-mBHI-p5,0.0001338860511071868
122,B9-e003Coalescence-mBHI-p3,0.00013547241084678688
123,B5-e003Coalescence-mGAM-p3,0.0001408141566685765
124,A5-e003Coalescence-mBHI-p3,0.00021805744583189773
125,C4-e004Assembly-mBHI-p7,0.00010757237252473161
126,A4-e003Coalescence-mBHI-p3,0.00021609030167237846
127,C9-e003Coalescence-mGAM-p5,0.00013827565758225575
128,A2-e003Coalescence-mBHI-inoculumn-redo,0.0002402568979695724
129,C2-e003Coalescence-mGAM-p5,0.00024114340832779048
130,B8-e003Coalescence-mGAM-p7,0.0001443705863748995
131,B8-e003Coalescence-mBHI-p7,0.00014554797407335393
132,D3-e003Coalescence-Inoculumn-mGAM,0.00015392092411191009
133,B11-e003Coalescence-mBHI-p3,0.00013744163659192056
134,C4-e003Coalescence-mBHI-p5,0.00018206943202360608
135,B4-e004Assembly-mBHI-p7,0.0002121519357473628
136,B2-e003Coalescence-mBHI-p7,0.00022785763317331644
137,B4-e003Coalescence-mBHI-p3,0.00014089353444622386
138,A5-e003Coalescence-Inoculumn-mBHI,0.009938733755887628
139,C2-e003Coalescence-mBHI-p7,0.00024178561322655548
140,A9-e003Coalescence-mGAM-p5,0.0001428072647292481
141,D2-e003Coalescence-mBHI-p3,0.00022307331124660326
