,index,shared,sample1,species_id
0,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,43,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
1,A_A2_A3_ACPP_AA_mBHI_mBHI_2_S2,40,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
2,A_A3_A4_AE_AA_mBHI_mBHI_2_S3,39,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
3,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,40,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
4,A_A5_A8_AA_AA_mGAM_mBHI_2_S5,39,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
5,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,37,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
6,A_A11_A4_AE_AA_mBHI_mBHI_4_S11,39,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
7,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,38,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
8,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,42,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
9,A_C2_C3_ACPP_AE_mBHI_mBHI_2_S26,0,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
10,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,5,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
11,A_C4_C5_AF_AE_mBHI_mBHI_2_S28,4,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
12,A_C5_C8_AA_AE_mGAM_mBHI_2_S29,37,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
13,A_C9_C2_AA_AE_mBHI_mBHI_4_S33,39,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
14,A_C10_C3_ACPP_AE_mBHI_mBHI_4_S34,3,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
15,A_C11_C4_AE_AE_mBHI_mBHI_4_S35,6,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
16,A_C12_C5_AF_AE_mBHI_mBHI_4_S36,4,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
17,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,39,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
18,A_D3_D4_AE_AF_mBHI_mBHI_2_S39,1,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
19,A_D5_D8_AA_AF_mGAM_mBHI_2_S41,36,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
20,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,39,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
21,A_D11_D4_AE_AF_mBHI_mBHI_4_S47,0,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
22,A_G1_C2_AA_AE_mBHI_mGAM_2_S73,31,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
23,A_G9_C2_AA_AE_mBHI_mGAM_4_S81,5,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
24,B_A2_E3_ACPP_AA_mBHI_mBHI_2_S98,38,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
25,B_A4_E5_AF_AA_mBHI_mBHI_2_S100,42,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
26,B_A5_E8_AA_AA_mGAM_mBHI_2_S101,40,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
27,B_A7_E10_AE_AA_mGAM_mBHI_2_S103,38,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
28,B_A9_A8_AA_AA_mGAM_mBHI_4_S105,37,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
29,B_A10_A9_ACPP_AA_mGAM_mBHI_4_S106,39,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
30,B_A11_A10_AE_AA_mGAM_mBHI_4_S107,39,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
31,B_A12_A11_AF_AA_mGAM_mBHI_4_S108,38,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
32,B_C1_G2_AA_AE_mBHI_mBHI_2_S121,40,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100910
