,index,shared,sample1,species_id,num_sites
0,C10-e003Assembly-mGAM-p3,577,C10-e003Assembly-mGAM-p3,102353,577
1,D_F3_e003Assembly_S351,14,C10-e003Assembly-mGAM-p3,102353,577
2,D_F11_e003Assembly_S359,12,C10-e003Assembly-mGAM-p3,102353,577
3,C_C10_G3_ACPP_AE_mBHI_mBHI_4_S226,13,C10-e003Assembly-mGAM-p3,102353,577
4,C_G6_e003Assembly_S270,13,C10-e003Assembly-mGAM-p3,102353,577
0,C10-e003Assembly-mGAM-p3,14,D_F3_e003Assembly_S351,102353,83
1,D_F3_e003Assembly_S351,83,D_F3_e003Assembly_S351,102353,83
2,D_F11_e003Assembly_S359,56,D_F3_e003Assembly_S351,102353,83
3,C_C10_G3_ACPP_AE_mBHI_mBHI_4_S226,62,D_F3_e003Assembly_S351,102353,83
4,C_G6_e003Assembly_S270,63,D_F3_e003Assembly_S351,102353,83
0,C10-e003Assembly-mGAM-p3,12,D_F11_e003Assembly_S359,102353,187
1,D_F3_e003Assembly_S351,56,D_F11_e003Assembly_S359,102353,187
2,D_F11_e003Assembly_S359,187,D_F11_e003Assembly_S359,102353,187
3,C_C10_G3_ACPP_AE_mBHI_mBHI_4_S226,56,D_F11_e003Assembly_S359,102353,187
4,C_G6_e003Assembly_S270,57,D_F11_e003Assembly_S359,102353,187
0,C10-e003Assembly-mGAM-p3,13,C_C10_G3_ACPP_AE_mBHI_mBHI_4_S226,102353,79
1,D_F3_e003Assembly_S351,62,C_C10_G3_ACPP_AE_mBHI_mBHI_4_S226,102353,79
2,D_F11_e003Assembly_S359,56,C_C10_G3_ACPP_AE_mBHI_mBHI_4_S226,102353,79
3,C_C10_G3_ACPP_AE_mBHI_mBHI_4_S226,79,C_C10_G3_ACPP_AE_mBHI_mBHI_4_S226,102353,79
4,C_G6_e003Assembly_S270,67,C_C10_G3_ACPP_AE_mBHI_mBHI_4_S226,102353,79
0,C10-e003Assembly-mGAM-p3,13,C_G6_e003Assembly_S270,102353,101
1,D_F3_e003Assembly_S351,63,C_G6_e003Assembly_S270,102353,101
2,D_F11_e003Assembly_S359,57,C_G6_e003Assembly_S270,102353,101
3,C_C10_G3_ACPP_AE_mBHI_mBHI_4_S226,67,C_G6_e003Assembly_S270,102353,101
4,C_G6_e003Assembly_S270,101,C_G6_e003Assembly_S270,102353,101
