,0
e004-inoculumn-fecal-BD,35348
Assembly-G11-D9-ACPP-mGAM-3_S702,476
e004-inoculumn-fecal-AK,5161
e003-inoculumn-fecal-AA,29023
H2-e003Coalescence-mGAM-p7_S181,373
BB-Fecal,23049
Coalescence-H12-AA-fecal-0_S715,28959
BF-Fecal,37303
AM-Fecal,39215
e003-inoculumn-fecal-inoculumn,30071
e003-inoculumn-fecal-AC,26839
BG-Fecal,19959
Coalescence-B12-H5-AF-AF-mBHI-mGAM-7_S643,391
B4-e003Coalescence-Inoculumn-mGAM,4687
AG-Fecal,468
e004-inoculumn-fecal-AR,31749
BK-Fecal,24708
e003-inoculumn-fecal-AE,19082
BC-Fecal,8037
e004-inoculumn-fecal-BE,47594
BA-Fecal,29428
e003-inoculumn-fecal-AF,32722
