,GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_0_abundances_trial_000,GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_12_abundances_trial_000
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_0_abundances_trial_001,1,33813
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_10_abundances_trial_000,1,33250
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_10_abundances_trial_001,1,33230
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_11_abundances_trial_000,1,33416
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_11_abundances_trial_001,1,33300
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_12_abundances_trial_001,0,33295
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_1_abundances_trial_000,0,33823
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_1_abundances_trial_001,1,33728
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_2_abundances_trial_000,1,33815
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_2_abundances_trial_001,1,33861
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_3_abundances_trial_000,1,33807
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_3_abundances_trial_001,1,33852
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_4_abundances_trial_000,1,33677
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_4_abundances_trial_001,0,33735
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_5_abundances_trial_000,1,32677
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_5_abundances_trial_001,0,32813
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_6_abundances_trial_000,1,30544
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_6_abundances_trial_001,0,30389
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_7_abundances_trial_000,1,32120
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_7_abundances_trial_001,1,32165
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_8_abundances_trial_000,1,33135
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_8_abundances_trial_001,0,33180
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_9_abundances_trial_000,1,33274
GUT_GENOME034180_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME034180_9_abundances_trial_001,1,33478
