,index,shared,sample1,species_id,num_sites
0,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,305,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
1,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,17,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
2,A_C11_C4_AE_AE_mBHI_mBHI_4_S35,18,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
3,A_C12_C5_AF_AE_mBHI_mBHI_4_S36,13,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
4,A_D3_D4_AE_AF_mBHI_mBHI_2_S39,13,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
5,A_D11_D4_AE_AF_mBHI_mBHI_4_S47,18,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
6,A_G1_C2_AA_AE_mBHI_mGAM_2_S73,18,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
7,A_G3_C4_AE_AE_mBHI_mGAM_2_S75,28,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
8,A_G4_C5_AF_AE_mBHI_mGAM_2_S76,23,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
9,A_G9_C2_AA_AE_mBHI_mGAM_4_S81,24,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
10,A_H3_D4_AE_AF_mBHI_mGAM_2_S87,17,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
11,B_C3_G4_AE_AE_mBHI_mBHI_2_S123,10,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
12,B_G1_G2_AA_AE_mBHI_mGAM_2_S169,21,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
13,C_C3_C4_AE_AE_mBHI_mBHI_6_S219,20,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
14,C_C11_G4_AE_AE_mBHI_mBHI_4_S227,20,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
15,C_D11_H4_AE_AF_mBHI_mBHI_4_S239,26,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
16,C_E11_E4_AE_AA_mBHI_mGAM_4_S251,13,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
17,C_G3_C4_AE_AE_mBHI_mGAM_6_S267,9,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
18,C_G11_G4_AE_AE_mBHI_mGAM_4_S275,16,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
19,C_H11_H4_AE_AF_mBHI_mGAM_4_S287,15,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
20,D_C3_C4_AE_AE_mBHI_mBHI_6_S315,26,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
21,D_E3_A4_AE_AA_mBHI_mGAM_6_S339,31,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
22,D_G1_C2_AA_AE_mBHI_mGAM_6_S361,16,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
23,D_G3_C4_AE_AE_mBHI_mGAM_6_S363,16,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
24,C2-e003Coalescence-mGAM-p7,21,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
25,C4-e003Coalescence-mGAM-p3,29,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
26,C5-e003Coalescence-mBHI-p5,8,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
27,C5-e003Coalescence-mGAM-p3,19,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
28,D4-e003Coalescence-mGAM-p3,10,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
29,C4-e003Coalescence-mBHI-p5,22,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
30,G5-e003Coalescence-mBHI-p7_S124,15,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
31,G4-e003Coalescence-mBHI-p5_S27,22,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
32,G3-e003Coalescence-mBHI-p3_S34,19,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
33,G3-e003Coalescence-mBHI-p5_S26,22,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
34,G5-e003Coalescence-mBHI-p5_S28,13,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
35,G4-e003Coalescence-mBHI-p3_S35,18,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
36,G5-e003Coalescence-mGAM-p3_S84,16,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
37,G3-e003Coalescence-mBHI-p7_S122,22,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
38,G5-e003Coalescence-mGAM-p5_S76,8,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
39,G4-e003Coalescence-mGAM-p5_S75,18,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
40,G4-e003Coalescence-mGAM-p3_S83,8,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
41,F4-e003Coalescence-mBHI-p7_S111,19,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
42,G4-e003Coalescence-mGAM-p7_S171,13,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
43,G4-e003Coalescence-mBHI-p7_S123,14,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
44,H4-e003Coalescence-mBHI-p3_S47,13,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
45,F4-e003Coalescence-mBHI-p5_S15,8,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
46,F4-e003Coalescence-mBHI-p3_S23,10,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
47,A4-e003Coalescence-mBHI-inoculumn-redo,40,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
48,C4-e003Coalescence-mBHI-inoculumn-redo,19,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
49,C5-e003Coalescence-mBHI-inoculumn-redo,16,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
50,D4-e003Coalescence-Inoculumn-mBHI,26,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
51,C2-e003Coalescence-mBHI-inoculumn-redo,40,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
52,C3-e003Coalescence-mBHI-inoculumn-redo,29,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
53,B4-e003Coalescence-Inoculumn-mBHI,19,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
54,G3-e003Coalescence-mBHI-p1_S790,14,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
55,A4-e003Coalescence-mBHI-p1_S732,29,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
56,C4-e003Coalescence-mGAM-p1_S738,6,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
57,D4-e003Coalescence-mBHI-p1_S735,20,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
58,B4-e003Coalescence-mBHI-p1_S733,11,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
59,G4-e003Coalescence-mBHI-p1_S798,12,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
60,C3-e003Coalescence-mBHI-p1_S726,20,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
61,H4-e003Coalescence-mBHI-p1_S799,14,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
62,B4-e003Coalescence-mGAM-p1_S737,9,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
63,Coalescence-E5-C4-AE-AE-mBHI-mBHI-3_S672,26,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
64,Coalescence-C6-A4-AA-AE-mBHI-mGAM-5_S649,14,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
65,Coalescence-D12-B4-ACPP-AE-mBHI-mGAM-3_S667,22,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
66,Coalescence-E4-C3-ACPP-AE-mBHI-mBHI-3_S671,24,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
67,B4-e003Assembly-mBHI-p5,13,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
68,D_F3_e003Assembly_S351,11,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
69,C_C2_e003Assembly_S218,21,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
70,C_C10_G3_ACPP_AE_mBHI_mBHI_4_S226,23,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,100181,305
