,sample,diversity
0,D11-e003Coalescence-mBHI-p5,5.6087827634093136e-05
1,D10-e003Coalescence-mBHI-p3,4.824134386828598e-05
2,G5-e004Assembly-epsilon-p3,4.562055045509582e-05
3,D10-e003Assembly-mGAM-p5,5.929580304306061e-05
4,D11-e003Coalescence-mGAM-p5,6.895386105330392e-05
5,A11-e003Coalescence-mGAM-p7,5.459721725219441e-05
6,B11-e003Coalescence-mGAM-p3,5.851846178921179e-05
7,D8-e003Coalescence-mGAM-p5,4.35913149172019e-05
8,A12-e003Coalescence-mGAM-p3,5.051120635035671e-05
9,D9-e003Coalescence-mGAM-p7,5.189178989328768e-05
10,B5-e003Coalescence-Inoculumn-mGAM,4.191845752730928e-05
11,D10-e003Coalescence-mBHI-p5,5.530227585881244e-05
12,D9-e003Coalescence-mGAM-p5,4.320793656422717e-05
13,D10-e003Coalescence-mGAM-p5,5.7979559347182824e-05
14,B11-e003Assembly-mGAM-p5,5.671182476991343e-05
15,D8-e003Coalescence-mBHI-p5,6.431734936853131e-05
16,D5-e003Coalescence-Inoculumn-mGAM,4.613180812031175e-05
17,G4-e004Assembly-epsilon-p5,1.9011368393802295e-05
18,D9-e003Assembly-mGAM-p5,1.355191441966044e-05
19,B12-e003Coalescence-mGAM-p3,5.5846850630912097e-05
20,D11-e003Assembly-mGAM-p3,2.3601680184475834e-05
21,C11-e003Coalescence-mGAM-p5,7.274273009561808e-05
22,D5-e004Assembly-mGAM-p7,4.194556699097718e-05
23,D9-e003Coalescence-mGAM-p3,6.196028475733666e-05
24,B11-e003Coalescence-mGAM-p7,3.8405526431364676e-05
25,D10-e003Coalescence-mGAM-p7,4.5892048450925774e-05
26,C11-e003Coalescence-mGAM-p3,4.8883955451216794e-05
27,D5-e004Assembly-mGAM-p3,4.76767450921723e-05
28,C11-e003Coalescence-mBHI-p5,6.517011525193208e-05
29,D10-e003Coalescence-mGAM-p3,5.6517017677715744e-05
30,D11-e003Coalescence-mGAM-p7,5.709998995827763e-05
31,D9-e003Coalescence-mBHI-p5,7.555563469379996e-05
32,D11-e003Assembly-mGAM-p5,4.711244976685377e-05
33,B11-e003GlycerolRevival-mGAM-p2,5.74916168040011e-05
34,D9-e003Coalescence-mBHI-p7,4.5412384890490835e-05
35,G5-e004Assembly-epsilon-p5,3.6810155963390025e-05
36,C11-e003Coalescence-mGAM-p7,8.452696284579688e-05
37,A5-e003Coalescence-Inoculumn-mGAM,5.463630630063509e-05
38,D4-e003Coalescence-Inoculumn-mGAM,6.181067658504074e-05
39,D2-e003Coalescence-Inoculumn-mGAM,5.788498570518384e-05
40,B11-e003Coalescence-mBHI-p3,4.5863085948697044e-05
41,C5-e003Coalescence-Inoculumn-mGAM,5.706944840213416e-05
42,A11-e003Coalescence-mBHI-p3,4.387207850493442e-05
43,A11-e003Coalescence-mGAM-p3,5.263130613756787e-05
