,sample,diversity
0,e004-inoculumn-fecal-BD,7.255389253872788e-05
1,e004-inoculumn-fecal-AK,0.00013250292200278166
2,BB-Fecal,0.00014664132978467543
3,BF-Fecal,0.0001309648120764449
4,AM-Fecal,0.00010678934130941375
5,e003-inoculumn-fecal-inoculumn,7.96704140557808e-05
6,BK-Fecal,0.0001011666249967132
7,e003-inoculumn-fecal-AE,4.345116920624883e-05
8,BC-Fecal,9.192720633219957e-05
9,e004-inoculumn-fecal-BE,0.00012348588948373434
10,BA-Fecal,0.00010425220830958462
11,e003-inoculumn-fecal-AF,0.00011569723339553372
