,sample,diversity
0,D3-e004Assembly-mGAM-p7,2.8538281623207827e-05
1,E4-e004Assembly-mGAM-p7,4.628710429093637e-05
2,BF-Fecal,0.002046041237642557
3,AM-Fecal,0.00044799616537269984
4,D11-e003Assembly-mGAM-p3,1.9923681812509766e-05
5,BG-Fecal,0.00016468921131639996
6,E4-e004Assembly-mGAM-p5,4.826109251048171e-05
7,D11-e003Assembly-mGAM-p5,3.378183689731713e-05
8,D3-e004Assembly-mGAM-p5,1.9988218708737555e-05
9,C11-e003Assembly-mGAM-p3,1.5202631244976522e-05
10,C11-e003Assembly-mGAM-p5,2.0294994829496084e-05
11,C11-e003GlycerolRevival-mGAM-p2,3.4033252819048924e-05
12,e004-inoculumn-fecal-AR,9.768019001632834e-05
13,e004-inoculumn-fecal-BE,0.00022041135624346783
